FullName,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,BestPosition,Position
Lionel Messi,81,89,90,94,34,64,CAM,0
Robert Lewandowski,75,91,79,86,44,83,ST,6
Kevin De Bruyne,74,88,93,87,64,77,CM,2
Kylian Mbappé,97,89,80,92,36,76,ST,6
Mohamed Salah,90,89,82,90,45,75,RW,5
Thibaut Courtois,84,89,75,90,46,89,GK,3
Manuel Neuer,87,88,91,88,56,91,GK,3
C. Ronaldo dos Santos Aveiro,81,92,78,85,34,75,ST,6
Virgil van Dijk,81,60,71,72,91,86,CB,1
Harry Kane,68,91,83,82,47,82,ST,6
Neymar da Silva Santos Jr.,87,83,85,93,37,61,LW,4
Heung Min Son,88,89,82,86,42,69,LW,4
Jan Oblak,86,90,78,89,49,87,GK,3
Ederson Santana de Moraes,87,82,93,88,64,88,GK,3
Alisson Ramses Becker,86,85,85,89,54,90,GK,3
Rúben Santos Gato Alves Dias,63,39,66,68,88,88,CB,1
Erling Haaland,89,91,65,80,49,87,ST,6
Gianluigi Donnarumma,90,83,79,89,52,85,GK,3
Bernardo Mota Carvalho e Silva,77,78,84,92,61,68,CAM,0
Marcos Aoás Corrêa,79,56,75,74,89,80,CB,1
Keylor Navas,89,84,75,89,54,87,GK,3
Marc-André ter Stegen,86,85,87,90,47,85,GK,3
Toni Kroos,53,81,90,81,71,68,CM,2
Luka Modrić,73,76,89,88,72,66,CM,2
Antonio Rüdiger,82,53,71,67,86,85,CB,1
Hugo Lloris,88,83,74,88,61,84,GK,3
Thomas Müller,69,84,83,80,56,71,CAM,0
David De Gea Quintana,88,80,76,89,51,84,GK,3
Marco Verratti,60,61,87,91,79,66,CM,2
Mike Maignan,85,82,85,89,51,85,GK,3
Trent Alexander-Arnold,76,69,89,80,80,73,CM,2
Kalidou Koulibaly,82,33,59,68,88,85,CB,1
Leon Goretzka,78,82,82,83,81,86,CM,2
Frenkie de Jong,82,69,86,87,77,78,CM,2
Thiago Alcântara,61,72,87,90,72,69,CM,2
Ciro Immobile,85,87,68,80,39,75,ST,6
Romelu Lukaku,80,85,75,77,38,82,ST,6
David Alaba,79,71,83,80,85,77,CB,1
Raheem Sterling,90,80,78,86,45,67,LW,4
Riyad Mahrez,80,83,81,90,38,60,RW,5
Paulo Dybala,80,85,85,90,40,59,CAM,0
Thiago Emiliano da Silva,49,54,73,72,87,76,CB,1
Wojciech Szczęsny,86,81,73,87,49,86,GK,3
Kevin Trapp,84,82,79,87,46,85,GK,3
Bruno Miguel Borges Fernandes,72,86,88,81,67,76,CAM,0
Daniel Parejo Muñoz,50,83,90,80,71,68,CM,2
Aymeric Laporte,61,50,72,69,86,79,CB,1
Nicolò Barella,79,76,83,84,77,81,CM,2
Lautaro Martínez,83,83,72,85,48,84,ST,6
Milan Škriniar,78,41,57,69,88,86,CB,1
Christopher Nkunku,88,81,83,88,65,66,CAM,0
Édouard Mendy,84,82,81,88,34,85,GK,3
Vinícius José de Oliveira Júnior,95,79,74,90,29,67,LW,4
Sergej Milinković-Savić,68,80,82,82,79,86,CM,2
Niklas Süle,71,48,66,59,85,83,CB,1
Nabil Fekir,83,82,82,87,38,80,CAM,0
İlkay Gündoğan,64,80,85,85,72,72,CM,2
Pierre-Emerick Aubameyang,87,84,74,79,36,68,ST,6
Iago Aspas Juncal,82,85,79,86,35,63,ST,6
Paul Pogba,67,80,85,85,62,80,CM,2
Luiz Frello Filho Jorge,54,67,86,81,73,73,CM,2
Gerard Moreno Balagueró,78,86,77,83,46,72,ST,6
Jamie Vardy,84,84,70,79,52,72,ST,6
Pedro González López,79,67,81,87,68,73,CM,2
Phil Foden,82,78,81,88,56,60,CAM,0
Matthijs de Ligt,75,59,61,69,84,87,CB,1
Patrik Schick,78,83,71,83,36,76,ST,6
Diogo José Teixeira da Silva,85,83,75,85,57,77,ST,6
Péter Gulácsi,85,84,76,85,43,83,GK,3
Yann Sommer,78,81,82,90,50,86,GK,3
