Nationality,Name,FullName,Age,Height,Weight,Overall,PreferredFoot,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
Argentina,L. Messi,Lionel Messi,35,169,67,91.0,0,4,4,81,89,90,94,34,64
France,K. Benzema,Karim Benzema,34,185,81,91.0,1,4,4,80,88,83,87,39,78
Poland,R. Lewandowski,Robert Lewandowski,33,185,81,91.0,1,4,4,75,91,79,86,44,83
Belgium,K. De Bruyne,Kevin De Bruyne,31,181,70,91.0,1,5,4,74,88,93,87,64,77
France,K. Mbappé,Kylian Mbappé,23,182,73,91.0,1,4,5,97,89,80,92,36,76
Egypt,M. Salah,Mohamed Salah,30,175,71,90.0,0,3,4,90,89,82,90,45,75
Belgium,T. Courtois,Thibaut Courtois,30,199,96,90.0,0,3,1,84,89,75,90,46,89
Germany,M. Neuer,Manuel Neuer,36,193,93,90.0,1,4,1,87,88,91,88,56,91
Portugal,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,37,187,83,90.0,1,4,5,81,92,78,85,34,75
Netherlands,V. van Dijk,Virgil van Dijk,30,193,92,90.0,1,3,2,81,60,71,72,91,86
England,H. Kane,Harry Kane,28,188,89,89.0,1,5,3,68,91,83,82,47,82
Brazil,Neymar Jr,Neymar da Silva Santos Jr.,30,175,68,89.0,1,5,5,87,83,85,93,37,61
Korea Republic,H. Son,Heung Min Son,29,183,78,89.0,1,5,4,88,89,82,86,42,69
Brazil,Casemiro,Carlos Henrique Venancio Casimiro,30,185,84,89.0,1,3,2,63,73,75,72,87,90
Slovenia,J. Oblak,Jan Oblak,29,188,87,89.0,1,3,1,86,90,78,89,49,87
Senegal,S. Mané,Sadio Mané,30,174,69,89.0,1,4,4,90,83,80,88,44,77
Brazil,Ederson,Ederson Santana de Moraes,28,188,86,89.0,0,3,1,87,82,93,88,64,88
Germany,J. Kimmich,Joshua Kimmich,27,177,75,89.0,1,4,3,68,72,87,84,83,79
Brazil,Alisson,Alisson Ramses Becker,29,191,91,89.0,1,3,1,86,85,85,89,54,90
France,N. Kanté,N'Golo Kanté,31,168,70,89.0,1,3,2,72,66,74,81,87,82
Portugal,Rúben Dias,Rúben Santos Gato Alves Dias,25,187,82,88.0,1,4,2,63,39,66,68,88,88
Norway,E. Haaland,Erling Haaland,21,195,94,88.0,0,3,3,89,91,65,80,49,87
Italy,G. Donnarumma,Gianluigi Donnarumma,23,196,90,88.0,1,3,1,90,83,79,89,52,85
Portugal,Bernardo Silva,Bernardo Mota Carvalho e Silva,27,173,64,88.0,0,3,4,77,78,84,92,61,68
